NAMESPACE      NAME                                      READY   STATUS    RESTARTS        AGE   IP              NODE               NOMINATED NODE   READINESS GATES
default        raasa-test-benign-compute                 1/1     Running   3 (74m ago)     81m   10.42.0.68      ip-172-31-16-234   <none>           <none>
default        raasa-test-benign-steady                  1/1     Running   0               81m   10.42.0.67      ip-172-31-16-234   <none>           <none>
default        raasa-test-malicious-cpu                  1/1     Running   0               81m   10.42.0.69      ip-172-31-16-234   <none>           <none>
kube-system    coredns-76c974cb66-r864s                  1/1     Running   4 (4h35m ago)   13d   10.42.0.60      ip-172-31-16-234   <none>           <none>
kube-system    local-path-provisioner-8686667995-r649k   1/1     Running   4 (4h35m ago)   13d   10.42.0.59      ip-172-31-16-234   <none>           <none>
kube-system    metrics-server-7bbbb75f47-8c6kx           1/1     Running   3 (4h35m ago)   13d   10.42.0.58      ip-172-31-16-234   <none>           <none>
kube-system    tetragon-6fk5g                            2/2     Running   8 (4h35m ago)   13d   172.31.16.234   ip-172-31-16-234   <none>           <none>
kube-system    tetragon-operator-79c87675d6-d8rkl        1/1     Running   4 (4h35m ago)   13d   10.42.0.61      ip-172-31-16-234   <none>           <none>
raasa-bench    raasa-bench-client-5fd64dcfbf-hvl28       1/1     Running   2 (4h34m ago)   13d   10.42.0.62      ip-172-31-16-234   <none>           <none>
raasa-bench    raasa-bench-server-7c49558994-2nmcp       1/1     Running   2 (4h35m ago)   13d   10.42.0.56      ip-172-31-16-234   <none>           <none>
raasa-demo     raasa-net-client-669f7c4cf8-2d9w8         1/1     Running   4 (4h34m ago)   13d   10.42.0.66      ip-172-31-16-234   <none>           <none>
raasa-demo     raasa-net-server-79c9b5b7d6-5jfk2         1/1     Running   4 (4h35m ago)   13d   10.42.0.65      ip-172-31-16-234   <none>           <none>
raasa-system   raasa-agent-ntfq8                         3/3     Running   0               11m   172.31.16.234   ip-172-31-16-234   <none>           <none>
